url,ID,name,district,size,price,location,property,condition,extras,liked,parking,view,garden
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+dio+utca+1/24337428,1,11 Dió,11,85.00,67.9,2,2,3,1,0,0,1,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+fatorzs+utca/24645633#terkep,2,11 Fatörzs,11,89.00,74.9,1,2,3,2,0,0,1,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24215733,3,11 Kelenföld kétszintes,11,124.00,64.6,1,2,2,1,0,0,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24246073,4,11 Madárhegy penthouse,11,74.00,72.01,2,3,3,2,1,0,1,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24248668,5,11 Madárhegy,11,77.00,66.9,2,2,3,3,0,0,1,1
https://ingatlan.com/xii-ker/elado+lakas/tegla-epitesu-lakas/budapest+12+kerulet/24443598#terkep,6,12 Sashegy konvektoros,12,83.00,68.3,3,1,1,1,0,0,0,0
https://ingatlan.com/xii-ker/elado+lakas/tegla-epitesu-lakas/budapest+12+kerulet/24818678,7,12 Sashegy,12,79.00,74.00,3,2,2,3,0,1,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+oltvany+utca/24774053#terkep,8,11 Oltvány,11,100.00,72.91,2,2,3,3,0,1,1,0
https://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/24886938,9,2 Törökvész látváyterv,2,75.00,64.9,2,0,0,2,0,0,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet/24246908,10,11 Sasad alsó,11,83.00,64.9,2,2,3,1,0,1,0,1
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+mohai+ut/23911999#terkep,11,11 Mohai,11,78.00,65.2,2,0,3,2,0,0,0,0
https://ingatlan.com/xi-ker/elado+lakas/tegla-epitesu-lakas/budapest+11+kerulet+hosszureti+utca/22265491,12,11 Hosszúréti,11,85.00,68.8,2,3,3,3,0,0,0,1
https://ingatlan.com/xii-ker/elado+lakas/tegla-epitesu-lakas/budapest+12+kerulet+varoskuti+ut+13/23364100#terkep,13,12 Városkúti,12,84.00,72.00,3,2,0,3,0,1,0,1
https://ingatlan.com/ii-ker/elado+lakas/tegla-epitesu-lakas/budapest+2+kerulet/24026077,14,2 Törökvész,2,78.00,65.9,2,2,3,1,0,0,0,0